Date,T,U
11.05.2021 05:30,28.4,78
11.05.2021 02:30,28.8,78
10.05.2021 23:30,29.4,76
10.05.2021 20:30,30,73
10.05.2021 17:30,33,60
10.05.2021 14:30,34.4,54
10.05.2021 11:30,34,55
10.05.2021 08:30,30.6,68
10.05.2021 05:30,28.8,76
10.05.2021 02:30,29.6,77
09.05.2021 23:30,30.6,70
09.05.2021 20:30,31,68
09.05.2021 17:30,33,61
09.05.2021 14:30,33.8,60
09.05.2021 11:30,34,60
09.05.2021 08:30,31.4,64
09.05.2021 05:30,28.2,83
09.05.2021 02:30,29.6,78
08.05.2021 23:30,30.4,78
08.05.2021 20:30,30.6,77
08.05.2021 17:30,33,68
08.05.2021 14:30,33.6,60
08.05.2021 11:30,34,59
08.05.2021 08:30,30.6,69
08.05.2021 05:30,28,83
08.05.2021 02:30,29,78
07.05.2021 23:30,30,78
07.05.2021 20:30,30.6,74
07.05.2021 17:30,32.4,69
07.05.2021 14:30,33.4,62
07.05.2021 11:30,33.4,55
07.05.2021 08:30,30,75
07.05.2021 05:30,28.4,82
07.05.2021 02:30,29,82
06.05.2021 23:30,29.6,80
06.05.2021 20:30,30.2,78
06.05.2021 17:30,32.4,67
06.05.2021 14:30,33.4,64
06.05.2021 11:30,33.4,64
06.05.2021 08:30,31,69
06.05.2021 05:30,28.2,85
06.05.2021 02:30,29,82
05.05.2021 23:30,30,78
05.05.2021 20:30,31,76
05.05.2021 17:30,32.8,68
05.05.2021 14:30,33.6,66
05.05.2021 11:30,33.6,61
05.05.2021 08:30,30.6,72
05.05.2021 05:30,28,85
05.05.2021 02:30,29.6,81
04.05.2021 23:30,29.6,80
04.05.2021 20:30,31.2,71
04.05.2021 17:30,33.6,59
04.05.2021 14:30,34.3,58
04.05.2021 11:30,34.8,49
04.05.2021 05:30,31.4,63
04.05.2021 02:30,29.6,75
03.05.2021 23:30,29.2,72
03.05.2021 20:30,30.4,72
03.05.2021 17:30,32.6,69
03.05.2021 14:30,34.8,54
03.05.2021 11:30,36,44
03.05.2021 08:30,30.8,59
03.05.2021 05:30,27.6,74
03.05.2021 02:30,29,80
02.05.2021 23:30,28.8,59
02.05.2021 20:30,30.2,59
02.05.2021 17:30,31.8,65
02.05.2021 14:30,33.4,54
02.05.2021 11:30,34,62
02.05.2021 08:30,31.2,75
02.05.2021 05:30,28.8,71
02.05.2021 02:30,28.8,82
01.05.2021 23:30,30,77
01.05.2021 20:30,30.4,72
01.05.2021 17:30,32.6,62
01.05.2021 14:30,33.6,58
01.05.2021 11:30,35.6,41
01.05.2021 08:30,30,77
01.05.2021 05:30,29.4,79
01.05.2021 02:30,29,78
30.04.2021 23:30,29.6,71
30.04.2021 20:30,29.8,77
30.04.2021 17:30,31.4,70
30.04.2021 14:30,33,64
30.04.2021 11:30,33,65
30.04.2021 08:30,30.4,73
30.04.2021 05:30,28.2,85
30.04.2021 02:30,29,83
29.04.2021 23:30,29.8,80
