T,H,CLE,Confirmed,DI,GA,MT,New Cases,TJ,State,Date,ON,Rt
28.4,3,4,5,0,4,3,3,4,Tamil Nadu,10/11/2020,0,0.9448600612887408
26.6,3,4,5,0,4,3,3,4,Tamil Nadu,11/11/2020,0,0.9393188362784508
25.6,1,4,5,0,4,3,3,4,Tamil Nadu,12/11/2020,0,0.932712231489646
28.53,1,4,5,0,4,3,3,4,Tamil Nadu,13/11/2020,0,0.930490779189605
30.73,3,4,5,0,4,3,3,4,Tamil Nadu,14/11/2020,0,0.917534894126126
28.07,1,4,5,1,4,3,3,4,Tamil Nadu,15/11/2020,0,0.905188720506006
26.27,1,4,5,1,4,3,3,4,Tamil Nadu,16/11/2020,0,0.888629229014516
28.47,1,4,5,1,4,3,3,4,Tamil Nadu,17/11/2020,0,0.8725427365284408
29.07,1,4,5,1,4,3,3,4,Tamil Nadu,18/11/2020,0,0.8608014527075559
30.0,3,4,5,1,4,3,3,4,Tamil Nadu,19/11/2020,0,0.852705178378409
29.67,3,4,5,1,4,3,3,4,Tamil Nadu,20/11/2020,0,0.8506409580507259
29.4,2,4,5,1,4,3,3,4,Tamil Nadu,21/11/2020,0,0.8604389487525891
28.4,3,4,5,1,4,3,3,4,Tamil Nadu,22/11/2020,0,0.870958095716195
29.6,3,4,5,1,4,3,3,4,Tamil Nadu,23/11/2020,0,0.886740489618511
24.93,1,4,5,1,4,3,3,4,Tamil Nadu,24/11/2020,0,0.9053803350164608
24.0,1,4,5,2,4,3,3,4,Tamil Nadu,25/11/2020,0,0.921794283327149
24.6,1,4,5,2,4,3,3,4,Tamil Nadu,26/11/2020,0,0.927848741016882
26.13,3,4,5,2,4,3,2,4,Tamil Nadu,27/11/2020,0,0.9249742470704972
28.47,3,4,5,2,4,3,2,4,Tamil Nadu,28/11/2020,0,0.919294571063249
28.2,3,4,5,2,4,3,2,4,Tamil Nadu,29/11/2020,0,0.9140067210235552
28.27,3,4,5,2,4,3,2,4,Tamil Nadu,30/11/2020,0,0.912405848689818
27.67,3,4,5,2,4,3,2,4,Tamil Nadu,01/12/2020,0,0.910032205864195
26.13,1,4,5,2,4,3,2,4,Tamil Nadu,02/12/2020,0,0.913508374552794
25.6,1,4,5,2,4,3,2,4,Tamil Nadu,03/12/2020,0,0.921486672028118
24.73,1,4,5,2,4,3,2,4,Tamil Nadu,04/12/2020,0,0.934566259075405
25.33,1,4,5,2,4,3,2,4,Tamil Nadu,05/12/2020,0,0.94623667124819
28.13,1,4,5,2,4,3,2,4,Tamil Nadu,06/12/2020,0,0.954505491617855
26.67,1,4,5,2,4,3,2,4,Tamil Nadu,07/12/2020,0,0.9529135755362692
28.13,1,5,5,2,4,3,2,4,Tamil Nadu,08/12/2020,0,0.953236561322001
27.27,1,5,5,2,4,3,2,4,Tamil Nadu,09/12/2020,0,0.94582230484793
27.53,3,5,5,3,4,3,2,4,Tamil Nadu,10/12/2020,0,0.93550402382205
27.47,3,5,5,3,4,3,2,4,Tamil Nadu,11/12/2020,0,0.9258496060600252
27.67,3,5,5,3,4,3,2,4,Tamil Nadu,12/12/2020,0,0.9217412185560908
27.93,3,5,5,3,4,3,2,4,Tamil Nadu,13/12/2020,0,0.920142236620761
28.13,3,5,5,3,4,3,2,4,Tamil Nadu,14/12/2020,0,0.922082255705729
28.0,3,5,6,3,4,3,2,4,Tamil Nadu,15/12/2020,0,0.919421112546476
27.53,1,5,6,3,4,3,2,4,Tamil Nadu,16/12/2020,0,0.923770683410116
28.27,1,5,6,3,4,3,2,4,Tamil Nadu,17/12/2020,0,0.933955385310346
28.13,3,5,6,3,4,3,2,4,Tamil Nadu,18/12/2020,0,0.9443367223062508
27.73,3,5,6,3,4,3,2,4,Tamil Nadu,19/12/2020,0,0.946929234991344
28.33,2,5,6,3,4,3,2,4,Tamil Nadu,20/12/2020,0,0.948567140754166
27.4,2,5,6,3,4,3,2,4,Tamil Nadu,21/12/2020,0,0.949967185620885
26.2,3,5,6,3,4,4,2,4,Tamil Nadu,22/12/2020,0,0.952050781526895
26.4,3,5,6,3,4,4,2,4,Tamil Nadu,23/12/2020,0,0.95257597539472
26.33,3,5,6,3,4,4,2,4,Tamil Nadu,24/12/2020,0,0.9484139222314468
27.27,3,5,6,4,4,4,2,4,Tamil Nadu,25/12/2020,0,0.9409398756646372
27.4,3,5,6,4,4,4,2,4,Tamil Nadu,26/12/2020,0,0.9376738867564092
27.6,3,5,6,4,4,4,2,4,Tamil Nadu,27/12/2020,0,0.9352131839651208
27.2,3,5,6,4,4,4,2,4,Tamil Nadu,28/12/2020,0,0.93397608535694
27.53,3,5,6,4,4,4,2,4,Tamil Nadu,29/12/2020,0,0.9382667466849608
28.13,3,5,6,4,4,4,2,4,Tamil Nadu,30/12/2020,0,0.938947846212745
28.07,3,5,6,4,4,4,2,4,Tamil Nadu,31/12/2020,0,0.935653587327122
